,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"O pedido de arquivamento apenas confirma o caráter abusivo do procedimento no TCU e a lisura de meu contrato na esfera privada. Ainda assim abri minhas contas ao público, pois não devo nada. Quero ver Lula e Bolsonaro fazerem o mesmo. #AbreAsContasBolsoLula https://t.co/Q1sFhwcBMR",281,1488337175594901514,2022-02-01 02:23:29,Twitter for iPhone,8339,1328,,,
1,"MINHA PARTE ESTOU FAZENDO, TODO LASCADO E COM A SENSAÇÃO DO DEVER CUMPRIDO, BOLSONARO VAI SE REELEGER E TENHO CERTEZA ABSOLUTA DISSO HOJE. A DOIS MESES ATRÁS EU ESTAVA COM MEDO DO LULA E COMECEI A LUTAR.  HOJE EU GARANTO A VCS, JÁ VENCEMOS. AAAHHHUUUUU",252,1488155626131836933,2022-01-31 14:22:04,Twitter for Android,6125,757,Rio de Janeiro,,
2,"Bolsonaro diz antever guerra na eleição e já comete crimes. Em eventos oficiais no interior do Rio, atacou Lula e o PT. Dois crimes: - campanha eleitoral antecipada; - uso de dinheiro público na campanha. Afirmou ainda q Dilma e Dirceu serão ministros se Lula vencer. 2 delírios.",279,1488317994245754882,2022-02-01 01:07:16,Twitter for iPhone,4618,487,"São Paulo, Brasil.",,
3,Luz para todos ou Luz para poucos? #equipeLula https://t.co/W8RljmFK67 https://t.co/lnfkIY8SOD,94,1488220465491492878,2022-01-31 18:39:43,Twitter Web App,3349,662,São Bernardo do Campo,,
4,"Tivemos uma conversa com presidente Lula sobre Democracia, institucionalidade, economia e eleição. Inclusive a última, que elegeu Bolsonaro e quebrou o Brasil. Pessoalmente defendo que se o MDB não tiver um candidato competitivo é mais consequente uma aliança com @LulaOficial https://t.co/Y87dDiUCtg",300,1488290826765623301,2022-01-31 23:19:18,Twitter for iPhone,2800,243,,,
5,"O possível retorno de @LulaOficial faz bem até ao governo Bolsonaro e já derruba a cotação do dólar. Os mercados, como todos sabem, antecipam o futuro, ainda que alguns espertalhões falem em risco-Lula para manipular incautos https://t.co/PtLh5garHR",249,1488439840043638784,2022-02-01 09:11:26,Twitter Web App,989,225,"Sao Paulo, Brasil",,
6,"Bolsonaro é refém do Congresso e Moro é uma figura insignificante, diz Lula https://t.co/ZD1u61Cv5O",99,1488479538699022338,2022-02-01 11:49:11,Zapier.com,2527,241,Brasil,,
7,Bolsonaro diz que Zé Dirceu vai para Casa Civil e Dilma para a Defesa se Lula for eleito.  https://t.co/cnT5QoMFET,114,1488195558133186560,2022-01-31 17:00:45,Buffer,1539,181,São Paulo / Brazil,,
8,Só a desistência de Bolsonaro pode impedir a vitória de Lula https://t.co/5ejPf7KC8w,84,1488445001906462720,2022-02-01 09:31:57,Twitter Web App,1814,180,,,
9,"Brasil: um país onde velhos, velharias e velhacos não morrem nem saem de cima. Tanta gente nova e capaz, e o brasileiro se engalfinhando por setentões imprestáveis, como Lula e Bolsonaro. Leia a coluna de Ricardo Kertzman https://t.co/mhj84HjNUs",245,1488094832727838723,2022-01-31 10:20:30,Hootsuite Inc.,902,214,"São Paulo, SP, Brasil",,
10,"""Lula está fazendo tudo certo, só não será presidente se surgir o inesperado e Bolsonaro deve desistir para não ser preso e liderar, do Senado, a oposição"". Merval Pereira, do Globo https://t.co/iIT24F7D9X",205,1488433467725692934,2022-02-01 08:46:07,Twitter Web App,445,108,"Sao Paulo, Brasil",,
11,"Quem não quer Lula nem Bolsonaro, levanta a mão !!!!!",53,1488555838675501062,2022-02-01 16:52:22,Twitter for iPhone,3403,178,natalini@natalini.com.br,,
12,"Leiam no Globo. O canastrão da farofa — aquele ogro q ñ sabe nem comer é marketing autodepreciativo (ñ cola mais) — já enfrenta a fuga de lideranças regionais do centrão, q migram para a candidatura de Lula. Quem quer um negacionista caído em desgraça? https://t.co/zwAAse2FEi",276,1487953207565467650,2022-01-31 00:57:44,Twitter for iPhone,3250,418,"São Paulo, Brasil.",,
13,Se você não vai votar no Lula ou no Bolsonaro - deixo pra você uma dica:   CIRO GOMES,85,1487961426685739008,2022-01-31 01:30:23,Twitter for iPhone,4146,455,República das Bananas,,
